Time,Pokhara Airport,Lumle,Begnas,Lamachour
03/30/2016 03:00:00,0,0,0,0
03/31/2016 03:00:00,36.5,46,20.2,10
04/01/2016 3:00,1.7,16,0,0
04/02/2016 3:00,6.1,0.2,4.2,8.8
04/03/2016 3:00,1.8,9,1.3,0
04/04/2016 3:00,0,0,0,0
04/05/2016 3:00,8,0,0,0
04/06/2016 3:00,0,4.2,23.6,2.4
04/07/2016 3:00,0,0,0,0
04/08/2016 3:00,0,0,0,0
04/09/2016 3:00,0,0,0,0
04/10/2016 3:00,0,0,0,0
04/11/2016 3:00,0,0,0,0
04/12/2016 3:00,0,0,0,0
04/13/2016 03:00:00,0,0,2,0
04/14/2016 03:00:00,0.7,0,1,2.2
04/15/2016 03:00:00,0,0,0,0
04/16/2016 03:00:00,0,0,12.4,0
04/17/2016 03:00:00,2.7,0,28.7,0
04/18/2016 03:00:00,0.3,0,0,0
04/19/2016 03:00:00,3.3,10.7,0,16
04/20/2016 03:00:00,0,0,0,0
04/21/2016 03:00:00,0,0,0,0
04/22/2016 03:00:00,0,0,0,0
04/23/2016 03:00:00,0,0,0,0
04/24/2016 03:00:00,0,0,0,0
04/25/2016 03:00:00,0,0,0,0
04/26/2016 03:00:00,0,0,0,0
04/27/2016 03:00:00,0,0,0,0
04/28/2016 03:00:00,0,0,0,0
04/29/2016 03:00:00,0,0,0,0
04/30/2016 03:00:00,0,0,0,0
05/01/2016 3:00,0,0,0,0
05/02/2016 3:00,0,0,0,0
05/03/2016 3:00,0,0,0,0
05/04/2016 3:00,0,0.5,0,0
05/05/2016 3:00,0,0,0,0
05/06/2016 3:00,3.1,2.4,10.4,2
05/07/2016 3:00,9,8.4,2,4.2
05/08/2016 3:00,0,0.5,0,0
05/09/2016 3:00,0,0,0,0
05/10/2016 3:00,0,0,0,0
05/11/2016 3:00,0,0,0,0
05/12/2016 3:00,0,0,0,0
05/13/2016 03:00:00,1.4,38,0,4.8
05/14/2016 03:00:00,6,1.8,26,8
05/15/2016 03:00:00,12.1,1.4,41,8.6
05/16/2016 03:00:00,11,18.8,1.2,8.4
05/17/2016 03:00:00,16.1,18.5,34,14.6
05/18/2016 03:00:00,20.7,43,15.2,4
05/19/2016 03:00:00,0,0,0,0
05/20/2016 03:00:00,0.9,5.2,6.8,46.6
05/21/2016 03:00:00,6.7,103.5,7.2,16.4
05/22/2016 03:00:00,0,0.5,0,0
05/23/2016 03:00:00,0,2,0,0
05/24/2016 03:00:00,0.2,6.8,0,0
05/25/2016 03:00:00,2.9,4.7,2.8,2
05/26/2016 03:00:00,12.6,21.4,31,10
05/27/2016 03:00:00,0,1.5,4.6,0
05/28/2016 03:00:00,1.9,17.2,0,90.8
05/29/2016 03:00:00,110.2,21.7,50,42.2
05/30/2016 03:00:00,0.1,0,0,2
05/31/2016 03:00:00,27,0.5,62.2,30
06/01/2016 3:00,0.3,0,0,0
06/02/2016 3:00,2,53.5,0,18.2
06/03/2016 3:00,0,0,0,0
06/04/2016 3:00,4.4,12,22.3,0
06/05/2016 3:00,1,0,33,0
06/06/2016 3:00,4.5,0.4,6.8,16
06/07/2016 3:00,0.5,4.5,0,4.2
06/08/2016 3:00,2.3,10,3,0
06/09/2016 3:00,0,0,0,0
06/10/2016 3:00,55.2,2.8,0,42
06/11/2016 3:00,2.4,2,3.6,0
06/12/2016 3:00,41.5,57.2,73.4,96
06/13/2016 03:00:00,39,39.7,11.6,44.2
06/14/2016 03:00:00,27,29,50,96.8
06/15/2016 03:00:00,37.5,30.5,46.2,12.6
06/16/2016 03:00:00,12.4,56.5,30.8,16.4
06/17/2016 03:00:00,9,39,26,0
06/18/2016 03:00:00,23.2,62.7,21,12.8
06/19/2016 03:00:00,17.3,72.5,0,105
06/20/2016 03:00:00,21.6,44.7,63.4,36.6
06/21/2016 03:00:00,27.3,32,40.6,38
06/22/2016 03:00:00,19.6,2.8,19,14.8
06/23/2016 03:00:00,12.6,29.2,16.6,36.4
06/24/2016 03:00:00,17.8,48.8,169.5,52
06/25/2016 03:00:00,60.4,21.2,1.4,24.6
06/26/2016 03:00:00,30.3,9.7,4.6,10
06/27/2016 03:00:00,77.6,77.8,40,12.8
06/28/2016 03:00:00,0.6,18.4,0,4
06/29/2016 03:00:00,14.3,59.5,1.2,24.2
06/30/2016 03:00:00,27.4,35.4,35,38
07/01/2016 3:00,17.5,26.5,23.5,12.2
07/02/2016 3:00,90,177.3,96.3,70
07/03/2016 3:00,10.8,20.4,2.3,4
07/04/2016 3:00,55,44.7,147.3,88
07/05/2016 3:00,3.5,73,4.2,18.2
07/06/2016 3:00,4.2,6.8,4,6
07/07/2016 3:00,0.7,17.5,6.6,16.8
07/08/2016 3:00,4.5,63.2,5.4,14.2
07/09/2016 3:00,1.9,22.5,0,0
07/10/2016 3:00,70,154.2,21.4,130
07/11/2016 3:00,15.7,39,26.2,36.6
07/12/2016 3:00,17.4,60,2.6,90.2
07/13/2016 03:00:00,4.9,83.5,0,50
07/14/2016 03:00:00,5.3,17.5,48.2,12.4
07/15/2016 03:00:00,7.2,49.8,0,62
07/16/2016 03:00:00,45,88.9,32,42.8
07/17/2016 03:00:00,26.1,22.2,12,46
07/18/2016 03:00:00,30.8,28,28.8,12
07/19/2016 03:00:00,0,22.5,2.2,2
07/20/2016 03:00:00,29,85.5,5.4,50.6
07/21/2016 03:00:00,35.2,40.2,74.3,46
07/22/2016 03:00:00,25.6,97.2,27.8,20.8
07/23/2016 03:00:00,41.1,3,41.6,36.6
07/24/2016 03:00:00,6.3,48.4,1.6,40
07/25/2016 03:00:00,35.1,132,134.3,76.8
07/26/2016 03:00:00,222.9,216.5,146.6,166
07/27/2016 03:00:00,56.4,56.7,47.8,42.4
07/28/2016 03:00:00,1.6,19,25,4
07/29/2016 03:00:00,9.7,27,8.2,6.2
07/30/2016 03:00:00,0.6,1.5,9.8,4
07/31/2016 03:00:00,3.5,20,8.2,6.4
08/01/2016 3:00,8.7,12.7,11.2,6.4
08/02/2016 3:00,1.2,4.5,1.6,0
08/03/2016 3:00,0.5,9.7,0,2.6
08/04/2016 3:00,0.9,20.4,0,2
08/05/2016 3:00,3.5,0,0,0
08/06/2016 3:00,33.2,43,14.4,44
08/07/2016 3:00,0.9,4,0,38.2
08/08/2016 3:00,1.1,24.8,3.5,6
08/09/2016 3:00,0.5,9,10.2,0
08/10/2016 3:00,4,10.5,58.3,4.4
08/11/2016 3:00,5,18.2,7,6.8
08/12/2016 3:00,19,10,0,4
08/13/2016 03:00:00,1.1,7.4,0,4.2
08/14/2016 03:00:00,5.8,41.5,4,6.8
08/15/2016 03:00:00,11,62.5,9.3,8.6
08/16/2016 03:00:00,30.8,20.5,7.2,2
08/17/2016 03:00:00,62.6,53.7,15.4,42
08/18/2016 03:00:00,0.7,24.6,0,42.4
08/19/2016 03:00:00,3.4,19.5,2,16.8
08/20/2016 03:00:00,0,27.5,6.7,6.6
08/21/2016 03:00:00,0,3.7,0,0
08/22/2016 03:00:00,41,3.4,5,42
08/23/2016 03:00:00,0,0,0,0
08/24/2016 03:00:00,0,0,2.2,0
08/25/2016 03:00:00,2.3,0,0,0
08/26/2016 03:00:00,12.8,79,0,40.2
08/27/2016 03:00:00,0,1.3,0,0
08/28/2016 03:00:00,0,0,13.2,0
