Time,Precipitation(mm)
08/04/2016 3:00,0
09/04/2016 3:00,0
10/04/2016 3:00,0
11/04/2016 3:00,0
12/04/2016 3:00,0
13/04/2016 3:00,0
14/04/2016 3:00,2.2
15/04/2016 3:00,0
16/04/2016 3:00,0
17/04/2016 3:00,0
18/04/2016 3:00,0
19/04/2016 3:00,16
20/04/2016 3:00,0
21/04/2016 3:00,0
22/04/2016 3:00,0
23/04/2016 3:00,0
24/04/2016 3:00,0
25/04/2016 3:00,0
26/04/2016 3:00,0
27/04/2016 3:00,0
28/04/2016 3:00,0
29/04/2016 3:00,0
30/04/2016 3:00,0
01/05/2016 3:00,0
02/05/2016 3:00,0
03/05/2016 3:00,0
04/05/2016 3:00,0
05/05/2016 3:00,0
06/05/2016 3:00,2
07/05/2016 3:00,4.2
08/05/2016 3:00,0
09/05/2016 3:00,0
10/05/2016 3:00,0
11/05/2016 3:00,0
12/05/2016 3:00,0
13/05/2016 3:00,4.8
14/05/2016 3:00,8
15/05/2016 3:00,8.6
16/05/2016 3:00,8.4
17/05/2016 3:00,14.6
18/05/2016 3:00,4
19/05/2016 3:00,0
20/05/2016 3:00,46.6
21/05/2016 3:00,16.4
22/05/2016 3:00,0
23/05/2016 3:00,0
24/05/2016 3:00,0
25/05/2016 3:00,2
26/05/2016 3:00,10
27/05/2016 3:00,0
28/05/2016 3:00,90.8
29/05/2016 3:00,42.2
30/05/2016 3:00,2
31/05/2016 3:00,30
01/06/2016 3:00,0
02/06/2016 3:00,18.2
03/06/2016 3:00,0
04/06/2016 3:00,0
05/06/2016 3:00,0
06/06/2016 3:00,16
07/06/2016 3:00,4.2
08/06/2016 3:00,0
09/06/2016 3:00,0
10/06/2016 3:00,42
11/06/2016 3:00,0
12/06/2016 3:00,96
13/06/2016 3:00,44.2
14/06/2016 3:00,96.8
15/06/2016 3:00,12.6
16/06/2016 3:00,16.4
17/06/2016 3:00,0
18/06/2016 3:00,12.8
19/06/2016 3:00,105
20/06/2016 3:00,36.6
21/06/2016 3:00,38
22/06/2016 3:00,14.8
